Symbol,Company Name,Security Name,Market Category,Test Issue,Financial Status,Round Lot Size,Debt_to_Equity,Total Assets,Cash,Goodwill & Intangible,Net Income,Return_on_TangibleAssets
OXGN,"OXiGENE, Inc.","OXiGENE, Inc. - Common Stock",S,N,N,100,0.0,0.0,0.0,0.0,0.0,
OXLC,Oxford Lane Capital Corp.,Oxford Lane Capital Corp. - Common Stock,Q,N,N,100,0.0,0.0,0.0,0.0,0.0,
OXLCN,Oxford Lane Capital Corp.,Oxford Lane Capital Corp. - 8.125% Series 2024 Term Preferred Stock,Q,N,N,100,0.0,0.0,0.0,0.0,0.0,
OXLCO,Oxford Lane Capital Corp.,"Oxford Lane Capital Corp. - Term Preferred Shares, 7.50% Series 2023",Q,N,N,100,0.0,0.0,0.0,0.0,38000000.0,inf
OXLCP,Oxford Lane Capital Corp.,"Oxford Lane Capital Corp. - Term Preferred Shares, 8.50% Series 2017",Q,N,N,100,0.0,0.0,0.0,0.0,0.0,
OZRK,Bank of the Ozarks,Bank of the Ozarks - Common Stock,Q,N,N,100,0.0,0.0,0.0,0.0,422000000.0,inf
PAAS,Pan American Silver Corp.,Pan American Silver Corp. - Common Stock,Q,N,N,100,0.0,4464000000.0,90548000.0,0.0,10294000.0,0.002353747108691258
PACB,"Pacific Biosciences of California, Inc.","Pacific Biosciences of California, Inc. - Common Stock",Q,N,N,100,0.576706666423876,147985000.0,29627000.0,0.0,-84134000.0,-0.7108433734939759
PACW,PacWest Bancorp,PacWest Bancorp - Common Stock,Q,N,N,100,0.4474961839240624,26770806000.0,637624000.0,0.0,468636000.0,0.01793260384441512
PAGG,PowerShares Global Agriculture Portfolio,PowerShares Global Agriculture Portfolio,G,N,N,100,0.0,0.0,0.0,0.0,0.0,
PAHC,Phibro Animal Health Corporation,Phibro Animal Health Corporation - Class A Common Stock,G,N,N,100,1.030614263045328,788318000.0,26180000.0,128220000.0,64883000.0,0.1023523547209576
PANL,Pangaea Logistics Solutions Ltd.,Pangaea Logistics Solutions Ltd. - Common Stock,S,N,N,100,0.6263901269342279,479902831.0,50555091.0,0.0,11657958.0,0.02715271774808923
PARN,Parnell Pharmaceuticals Holdings Ltd,Parnell Pharmaceuticals Holdings Ltd - Ordinary Shares,G,N,N,100,0.0,0.0,0.0,0.0,0.0,
PATIV,"New Patriot Transportation Holding, Inc.","New Patriot Transportation Holding, Inc. - Common Stock When Issued",Q,N,N,100,0.0,0.0,0.0,0.0,0.0,
PATK,"Patrick Industries, Inc.","Patrick Industries, Inc. - Common Stock",Q,N,N,100,1.3575473234153665,1470993000.0,139390000.0,676363000.0,89566000.0,0.13669189915145596
PAYX,"Paychex, Inc.","Paychex, Inc. - Common Stock",Q,N,N,100,0.3072324081455178,9466900000.0,780000000.0,2137800000.0,1034400000.0,0.15794536653891375
PBCP,"Polonia Bancorp, Inc.","Polonia Bancorp, Inc. - Common Stock",S,N,N,100,0.0,0.0,0.0,0.0,0.0,
PBCT,"People's United Financial, Inc.","People's United Financial, Inc. - Common Stock",Q,N,N,100,0.1352300181195893,58589800000.0,801000000.0,3274600000.0,520400000.0,0.009546136602940151
PBHC,"Pathfinder Bancorp, Inc.","Pathfinder Bancorp, Inc. - Common Stock",S,N,N,100,1.090937703738675,1056120000.0,39773000.0,4689000.0,4031000.0,0.003984548137809418
PBIB,"Porter Bancorp, Inc.","Porter Bancorp, Inc. - Common Stock",S,N,D,100,0.0,0.0,0.0,0.0,38000000.0,inf
PBIP,"Prudential Bancorp, Inc.","Prudential Bancorp, Inc. - Common Stock",G,N,N,100,2.2619927568498235,1191344000.0,40428000.0,6580000.0,7064000.0,0.006173012122313726
PBMD,Prima BioMed Ltd,Prima BioMed Ltd - American Depositary Shares,G,N,D,100,0.0,0.0,0.0,0.0,0.0,
PBPB,Potbelly Corporation,Potbelly Corporation - Common Stock,Q,N,N,100,3.428494654891936,332879000.0,18806000.0,5626000.0,-23992000.0,-0.07778321721397842
PBSK,"Poage Bankshares, Inc.","Poage Bankshares, Inc. - Common Stock",S,N,N,100,0.14958018883334967,440728000.0,22852000.0,2307000.0,-2868000.0,-0.006901380998101398
PCAR,PACCAR Inc.,PACCAR Inc. - Common Stock,Q,N,N,100,0.01036867515834061,27767700000.0,134300000.0,0.0,2195100000.0,0.07943647904347638
PCBK,Pacific Continental Corporation (Ore),Pacific Continental Corporation (Ore) - Common Stock,Q,N,N,100,0.4651659795304531,2546623000.0,70278000.0,68969000.0,19776000.0,0.008214753324781837
PCCC,"PC Connection, Inc.","PC Connection, Inc. - Common Stock",Q,N,N,100,0.0,0.0,0.0,0.0,0.0,
PCH,Potlatch Corporation,Potlatch Corporation - Common Stock,Q,N,N,100,0.6120638101072322,2257054000.0,94747000.0,17244000.0,122880000.0,0.05728503078930549
PCLN,The Priceline Group Inc.,The Priceline Group Inc.  - Common Stock,Q,N,N,100,0.0,0.0,0.0,0.0,0.0,
PCMI,"PCM, Inc.","PCM, Inc. - Common Stock",G,N,N,100,0.2455355011220933,775903000.0,6835000.0,94541000.0,22773000.0,0.03376143579130265
PCO,Pendrell Corporation,Pendrell Corporation - Class A Common Stock,Q,N,N,100,0.0,0.0,0.0,0.0,0.0,
